Date,Open,High,Low,Close,Adj Close,Volume
2023-04-06,15090.000000,15180.000000,14670.000000,14810.000000,14810.000000,199593
2023-04-07,14920.000000,15210.000000,14840.000000,15070.000000,15070.000000,305673
2023-04-10,15230.000000,15920.000000,15170.000000,15530.000000,15530.000000,959605
2023-04-11,16300.000000,18910.000000,16200.000000,18910.000000,18910.000000,8689982
2023-04-12,18400.000000,19870.000000,18240.000000,18250.000000,18250.000000,3286743
2023-04-13,18180.000000,18190.000000,17090.000000,17520.000000,17520.000000,1634623
2023-04-14,18340.000000,19180.000000,17670.000000,18050.000000,18050.000000,3051535
2023-04-17,17700.000000,18720.000000,17060.000000,17950.000000,17950.000000,1765714
2023-04-18,17950.000000,18500.000000,17740.000000,18210.000000,18210.000000,1345264
2023-04-19,18460.000000,20300.000000,18080.000000,20250.000000,20250.000000,4849295
2023-04-20,19400.000000,19530.000000,17520.000000,17800.000000,17800.000000,2243346
2023-04-21,17560.000000,17690.000000,16650.000000,16660.000000,16660.000000,825041
2023-04-24,16590.000000,16750.000000,15800.000000,16030.000000,16030.000000,667007
2023-04-25,16060.000000,16320.000000,15300.000000,15570.000000,15570.000000,574735
2023-04-26,15550.000000,16080.000000,15350.000000,15840.000000,15840.000000,408688
2023-04-27,15950.000000,16840.000000,15880.000000,16700.000000,16700.000000,636917
2023-04-28,16700.000000,16700.000000,15630.000000,15680.000000,15680.000000,463173
2023-05-02,15780.000000,18600.000000,15770.000000,18010.000000,18010.000000,3421424
2023-05-03,17700.000000,19780.000000,17650.000000,18140.000000,18140.000000,4383351
2023-05-04,18300.000000,18670.000000,17210.000000,17510.000000,17510.000000,1228423
2023-05-08,18170.000000,21550.000000,17560.000000,18940.000000,18940.000000,11375880
2023-05-09,18690.000000,18690.000000,17060.000000,17490.000000,17490.000000,2166309
2023-05-10,17320.000000,17970.000000,17170.000000,17540.000000,17540.000000,1062407
2023-05-11,17790.000000,18930.000000,17780.000000,18500.000000,18500.000000,2014302
2023-05-12,18540.000000,18790.000000,17970.000000,18240.000000,18240.000000,809568
2023-05-15,18070.000000,18090.000000,16220.000000,16380.000000,16380.000000,1357039
2023-05-16,16650.000000,16680.000000,15900.000000,16010.000000,16010.000000,714897
2023-05-17,15900.000000,16600.000000,15820.000000,16560.000000,16560.000000,416066
2023-05-18,16830.000000,16880.000000,16330.000000,16700.000000,16700.000000,556611
2023-05-19,16820.000000,16820.000000,16050.000000,16240.000000,16240.000000,447623
2023-05-22,16240.000000,16300.000000,15880.000000,15980.000000,15980.000000,389714
2023-05-23,16370.000000,16750.000000,16230.000000,16230.000000,16230.000000,657216
2023-05-24,16110.000000,16390.000000,16060.000000,16270.000000,16270.000000,279927
2023-05-25,16110.000000,16230.000000,15320.000000,15430.000000,15430.000000,634395
2023-05-26,15500.000000,16210.000000,15160.000000,15830.000000,15830.000000,655543
2023-05-30,15850.000000,16050.000000,15470.000000,15700.000000,15700.000000,385762
2023-05-31,15780.000000,16210.000000,15750.000000,15990.000000,15990.000000,355377
2023-06-01,16100.000000,16380.000000,15850.000000,16250.000000,16250.000000,317626
2023-06-02,16300.000000,16320.000000,16060.000000,16160.000000,16160.000000,233363
2023-06-05,16350.000000,16590.000000,16270.000000,16470.000000,16470.000000,328896
2023-06-07,16600.000000,16600.000000,16160.000000,16280.000000,16280.000000,286513
2023-06-08,16280.000000,16280.000000,15560.000000,15860.000000,15860.000000,276289
2023-06-09,16250.000000,16860.000000,16110.000000,16800.000000,16800.000000,763003
2023-06-12,17110.000000,17190.000000,16690.000000,16810.000000,16810.000000,472878
2023-06-13,16940.000000,17050.000000,16560.000000,16960.000000,16960.000000,374382
2023-06-14,17300.000000,17390.000000,16430.000000,16630.000000,16630.000000,588989
2023-06-15,16690.000000,17490.000000,16690.000000,17480.000000,17480.000000,710242
2023-06-16,17570.000000,17580.000000,17080.000000,17250.000000,17250.000000,364394
2023-06-19,17210.000000,17240.000000,16840.000000,17080.000000,17080.000000,233146
2023-06-20,17080.000000,17080.000000,16500.000000,16890.000000,16890.000000,216365
2023-06-21,17000.000000,17790.000000,16950.000000,17700.000000,17700.000000,839176
2023-06-22,17640.000000,17640.000000,17210.000000,17250.000000,17250.000000,343671
2023-06-23,17400.000000,17970.000000,17320.000000,17690.000000,17690.000000,575276
2023-06-26,17530.000000,17540.000000,17000.000000,17170.000000,17170.000000,316478
2023-06-27,17090.000000,17100.000000,16810.000000,16840.000000,16840.000000,262651
2023-06-28,16980.000000,17060.000000,16200.000000,16220.000000,16220.000000,344360
2023-06-29,16300.000000,16490.000000,16000.000000,16100.000000,16100.000000,190352
2023-06-30,16190.000000,16340.000000,16060.000000,16230.000000,16230.000000,128541
2023-07-03,16390.000000,16760.000000,16390.000000,16710.000000,16710.000000,160909
2023-07-04,16970.000000,17800.000000,16810.000000,17480.000000,17480.000000,838109
2023-07-05,17370.000000,17370.000000,16770.000000,17080.000000,17080.000000,1024802
2023-07-06,17250.000000,18420.000000,17240.000000,17760.000000,17760.000000,2254766
2023-07-07,17850.000000,18230.000000,16710.000000,16730.000000,16730.000000,951343
2023-07-10,16890.000000,17210.000000,16290.000000,16630.000000,16630.000000,346040
2023-07-11,null,null,null,null,null,null
2023-07-12,17300.000000,17380.000000,16860.000000,17350.000000,17350.000000,333492
2023-07-13,17420.000000,17420.000000,16950.000000,16990.000000,16990.000000,361100
2023-07-14,17020.000000,17080.000000,16510.000000,16660.000000,16660.000000,434398
2023-07-17,17060.000000,17360.000000,16580.000000,16660.000000,16660.000000,769768
2023-07-18,16770.000000,17340.000000,16700.000000,16760.000000,16760.000000,560232
2023-07-19,16910.000000,17660.000000,16810.000000,17610.000000,17610.000000,888605
2023-07-20,17170.000000,17290.000000,16550.000000,17120.000000,17120.000000,582126
2023-07-21,16780.000000,16890.000000,16570.000000,16630.000000,16630.000000,351172
2023-07-24,16760.000000,17310.000000,16650.000000,16990.000000,16990.000000,634436
2023-07-25,16950.000000,17090.000000,16110.000000,16200.000000,16200.000000,663233
2023-07-26,16200.000000,16200.000000,14900.000000,15050.000000,15050.000000,791818
2023-07-27,14950.000000,15450.000000,14590.000000,14630.000000,14630.000000,431741
2023-07-28,14310.000000,15740.000000,14060.000000,15330.000000,15330.000000,461383
2023-07-31,15300.000000,15990.000000,15290.000000,15520.000000,15520.000000,258130
2023-08-01,15540.000000,15660.000000,15150.000000,15200.000000,15200.000000,191682
2023-08-02,15040.000000,15660.000000,15010.000000,15140.000000,15140.000000,221698
2023-08-03,15100.000000,15200.000000,14210.000000,14370.000000,14370.000000,394480
2023-08-04,14400.000000,14590.000000,14320.000000,14320.000000,14320.000000,124428
2023-08-07,14400.000000,14440.000000,13710.000000,13840.000000,13840.000000,294874
2023-08-08,13900.000000,14020.000000,13740.000000,13920.000000,13920.000000,156689
2023-08-09,13920.000000,14440.000000,13710.000000,14220.000000,14220.000000,251931
2023-08-10,14000.000000,14360.000000,13760.000000,14310.000000,14310.000000,156597
2023-08-11,14430.000000,14750.000000,13970.000000,14220.000000,14220.000000,273073
2023-08-14,14070.000000,15110.000000,13950.000000,14520.000000,14520.000000,392142
2023-08-16,14650.000000,14650.000000,13880.000000,14090.000000,14090.000000,421591
2023-08-17,13850.000000,14280.000000,13490.000000,14200.000000,14200.000000,213217
2023-08-18,13980.000000,15100.000000,13910.000000,14650.000000,14650.000000,454835
2023-08-21,14980.000000,15200.000000,14550.000000,14690.000000,14690.000000,279028
2023-08-22,14780.000000,15000.000000,14630.000000,14700.000000,14700.000000,172418
